CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
243.0,31.7601661682129,40.48425006866456,0.41,20.0,0.016
244.0,9.98955154418945,9.98955154418945,0.0,1.0,0.0
245.0,26.8001403808594,30.98866549405186,-0.189,11.0,0.02
246.0,27.586597442627,38.727529726530385,0.019,19.0,0.023
247.0,26.5089092254639,34.76871087816026,0.277,18.0,0.019
248.0,18.7544631958008,16.999086380004883,0.26,6.0,-0.01
249.0,17.2591876983643,17.6696872711182,0.611,3.0,0.009
250.0,27.979866027832,31.997591733932495,0.619,16.0,0.008
251.0,26.6753482818604,41.24177473562735,0.16,27.0,0.022
252.0,26.5903873443604,39.36329775271208,0.179,23.0,0.022
253.0,25.6433715820313,35.90160554455173,-0.526,31.0,0.011
254.0,19.6605701446533,19.6605701446533,0.0,1.0,0.0
255.0,18.0944175720215,23.414053916931174,-0.813,4.0,0.059
257.0,10.1507530212402,10.1507530212402,0.0,1.0,0.0
258.0,26.2428512573242,34.75588742424461,0.044,17.0,0.022
259.0,24.0668411254883,24.0668411254883,0.0,1.0,0.0
260.0,22.5434494018555,31.362038107479325,-0.072,17.0,0.027
261.0,22.971061706543,32.62530938784281,0.31,24.0,0.02
262.0,21.0592555999756,21.0592555999756,0.0,1.0,0.0
263.0,22.8606452941895,23.87403093065535,0.297,14.0,0.0
264.0,24.5885372161865,32.77445210350885,0.017,18.0,0.021
265.0,26.7428798675537,33.39500939218621,0.124,19.0,0.013
266.0,24.1994762420654,22.74484570821127,-0.919,3.0,-0.033
267.0,11.0661973953247,11.0661973953247,0.0,1.0,0.0
268.0,22.8310279846191,28.97154617309571,-0.377,16.0,0.016
269.0,25.0415992736816,34.424678938729414,-0.096,28.0,0.01
270.0,43.7621650695801,42.240194956461565,-0.589,3.0,-0.013
271.0,44.8204956054688,44.732245127360066,0.524,3.0,-0.008
272.0,15.8257369995117,15.8257369995117,0.0,1.0,0.0
273.0,29.3776073455811,34.427539443969735,-0.11,5.0,0.022
274.0,27.7335758209229,39.83772479163276,0.05,18.0,0.024
275.0,28.8012619018555,41.33526333895597,-0.544,22.0,0.019
276.0,21.9547519683838,21.9547519683838,0.0,1.0,0.0
277.0,19.8673191070557,19.8673191070557,0.0,1.0,0.0
278.0,33.006031036377,38.34795239097193,-0.025,19.0,0.018
279.0,33.7303428649902,46.12139185737162,0.315,34.0,0.012
280.0,17.3166599273682,15.44187927246095,-0.639,2.0,-0.081
281.0,40.0516128540039,40.0516128540039,0.0,1.0,0.0
283.0,42.8513450622559,48.80833969116212,-0.576,5.0,0.026
284.0,24.6164989471436,31.306821220799495,0.228,19.0,0.016
285.0,24.612340927124,36.85402953106425,-0.19,23.0,0.021
286.0,26.4488162994385,20.979351520538327,-0.975,4.0,-0.085
288.0,15.0417947769165,15.0417947769165,0.0,1.0,0.0
290.0,10.0215435028076,10.0215435028076,0.0,1.0,0.0
291.0,20.4215698242188,20.4215698242188,0.0,1.0,0.0
292.0,9.99225044250488,9.99225044250488,0.0,1.0,0.0
293.0,26.0742015838623,26.73200201988221,0.245,8.0,0.011
294.0,26.815788269043,38.52388358116151,0.847,16.0,0.024
295.0,27.9636077880859,40.77450200131064,0.029,19.0,0.023
296.0,20.3146076202393,20.3146076202393,0.0,1.0,0.0
297.0,28.4542579650879,40.75849959963845,-0.114,21.0,0.016
298.0,19.3983402252197,20.12487188975015,0.394,6.0,0.017
299.0,22.5233631134033,31.55557029724121,-0.064,25.0,0.017
300.0,23.5036468505859,25.623598098754886,0.469,9.0,0.013
301.0,29.6993045806885,40.906026635851184,-0.235,28.0,0.017
302.0,8.23645496368408,8.23645496368408,0.0,1.0,0.0
303.0,40.1821250915527,41.1898193359375,-0.571,3.0,0.006
304.0,35.9682426452637,37.54931259155275,-0.561,2.0,0.028
305.0,13.4052104949951,13.4052104949951,0.0,1.0,0.0
307.0,25.7352046966553,37.00603021894183,-0.474,7.0,0.05
308.0,7.91782474517822,7.91782474517822,0.0,1.0,0.0
310.0,26.3037204742432,35.63754006588097,-0.078,33.0,0.01
311.0,35.3267135620117,51.31405540134596,-0.026,23.0,0.018
312.0,20.1977806091309,20.1977806091309,0.0,1.0,0.0
313.0,22.5749702453613,34.94493408203125,0.049,25.0,0.021
314.0,27.8710899353027,40.44722499847412,-0.153,20.0,0.022
315.0,21.0364036560059,21.0364036560059,0.0,1.0,0.0
316.0,22.766716003418,22.766716003418,0.0,1.0,0.0
