TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
32.0,49.0,2.819842047543543,14.0,178.20001220703125,40.099998474121094,24.349536895751953,6.640782833099365,16.0,,,0.506,1.053
33.0,13.0,2.31274361884813,12.0,125.7018814086914,75.64337921142578,53.81224822998047,7.678689002990723,0.0,47.0,40.0,1.129,-0.202
33.0,19.0,2.6344941583153525,6.0,137.55189514160156,95.69340515136719,46.13608169555664,9.712860107421875,14.0,50.0,31.0,0.972,0.251
33.0,24.0,2.6344941583153525,19.0,92.26416778564453,112.07546997070312,56.91735076904297,7.770287036895752,0.0,51.0,29.0,,
33.0,25.0,2.9441971562223026,20.0,157.11538696289062,50.07691955566406,22.553356170654297,8.04076099395752,0.0,52.0,34.0,0.717,0.062
33.0,26.0,2.2513176085683706,21.0,153.72601318359375,71.89725494384766,36.086368560791016,8.03153133392334,0.0,53.0,36.0,0.748,0.171
33.0,27.0,2.299651119455137,22.0,137.424072265625,77.8250503540039,50.32415771484375,7.113049030303955,0.0,54.0,30.0,1.113,0.203
33.0,45.0,2.770701399109401,6.0,187.14344787597656,49.08312225341797,42.14732360839844,8.232708930969238,44.0,46.0,28.0,,
33.0,48.0,2.63200044084963,6.0,96.03858184814453,121.96376037597656,45.54711151123047,7.2659711837768555,14.0,,,0.816,-0.189
33.0,49.0,2.819842047543543,14.0,183.70001220703125,39.599998474121094,26.879358291625977,7.273237705230713,16.0,,,0.759,0.859
34.0,13.0,2.372586446438864,12.0,124.1937255859375,76.1834945678711,59.45853042602539,7.301924228668213,0.0,47.0,40.0,1.467,-0.075
34.0,19.0,2.665125237962199,6.0,138.93467712402344,95.90469360351562,50.995361328125,9.746162414550781,14.0,50.0,31.0,,
34.0,25.0,2.9229236922766946,20.0,157.87649536132812,48.694114685058594,26.140121459960938,8.67721939086914,0.0,52.0,34.0,0.577,0.23
