ImageNumber,ObjectNumber,Children_FilterObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
21,4,1,72.57692307692308,120.13461538461539,0,4
21,5,1,46.214285714285715,138.78571428571428,0,5
21,6,1,62.56551724137931,138.13103448275862,0,6
21,7,1,50.424418604651166,156.11627906976744,0,7
21,8,1,58.36942675159236,157.93630573248407,0,8
21,9,1,35.16814159292036,171.69321533923303,0,9
21,10,1,41.401041666666664,165.30208333333334,0,10
21,11,1,47.232804232804234,180.83068783068782,0,11
21,12,1,55.07453416149068,179.8198757763975,0,12
22,1,1,89.60087719298245,79.91666666666667,0,1
22,2,1,69.15614617940199,97.10963455149502,0,2
22,3,1,75.6,116.35121951219512,0,3
22,4,1,67.66071428571429,115.85119047619048,0,4
22,5,1,49.18702290076336,133.48091603053436,0,5
22,6,1,55.544973544973544,137.46031746031747,0,6
22,7,1,62.48514851485149,140.75742574257427,0,7
22,8,1,33.9656652360515,160.6137339055794,0,8
22,9,1,59.945205479452056,160.92694063926942,0,9
22,10,1,49.38961038961039,163.82251082251082,0,10
22,11,1,41.41726618705036,169.66546762589928,0,11
22,12,1,35.75,190.14285714285714,0,12
22,13,1,55.7037037037037,190.08333333333334,0,13
22,14,1,47.29197080291971,196.992700729927,0,14
23,1,1,91.99607843137255,74.88039215686274,0,1
23,2,1,68.43657817109144,94.51917404129793,0,2
23,3,1,69.265,114.465,0,3
23,4,1,76.66968325791855,117.02714932126698,0,4
23,5,1,50.833333333333336,128.99056603773585,0,5
23,6,1,56.916666666666664,135.0392156862745,0,6
23,7,1,61.49308755760369,142.35023041474653,0,7
23,8,1,33.18050541516246,158.4187725631769,0,8
23,9,1,61.412,158.492,0,9
23,10,1,48.25,162.63059701492537,0,10
23,11,1,40.84406779661017,168.864406779661,0,11
23,12,1,55.37651821862348,189.97975708502025,0,12
23,13,1,35.47008547008547,190.66239316239316,0,13
23,14,1,46.81311475409836,200.4360655737705,0,14
24,1,1,100.74780058651027,62.54545454545455,0,1
24,2,1,68.1865889212828,92.19533527696792,0,2
24,3,1,78.93867924528301,91.48113207547169,0,3
24,4,1,78.56420233463035,116.19066147859922,0,4
24,5,1,53.146198830409354,121.53508771929825,0,5
24,6,1,70.86175115207374,117.45622119815668,0,6
24,7,1,59.112554112554115,131.06493506493507,0,7
24,8,1,61.45418326693227,147.996015936255,0,8
24,9,1,34.31438127090301,154.35451505016724,0,9
24,10,1,49.77591973244147,156.2876254180602,0,10
24,11,1,65.89855072463769,157.1340579710145,0,11
24,12,1,41.83435582822086,165.08588957055215,0,12
24,13,1,36.455598455598455,189.26640926640925,0,13
24,14,1,56.15555555555556,191.65555555555557,0,14
24,15,1,48.1183800623053,198.6355140186916,0,15
25,1,1,105.87433155080214,60.88235294117647,0,1
25,2,1,70.28213166144201,94.05015673981191,0,2
25,3,1,82.03703703703704,92.559670781893,0,3
25,4,1,80.08333333333333,119.72101449275362,0,4
25,5,1,61.36507936507937,114.48148148148148,0,5
