ImageNumber,ObjectNumber,Orientation,lable,divideFlag
27,3,84.1448027549146,2.0,False
27,4,89.88214688398884,2.0,False
27,5,-57.80627399252186,3.0,False
27,6,-24.115458951319383,4.0,False
27,7,-21.49034723539118,4.0,False
27,8,32.09012749030056,5.0,False
27,9,28.575604638552036,6.0,False
27,10,-26.43976943430148,7.0,False
27,11,63.59127441540952,8.0,False
27,12,63.1747605227869,8.0,False
27,13,81.83095111891134,9.0,False
27,14,-12.227017040038696,9.0,False
27,15,71.6717350114828,10.0,False
27,16,73.36462065434534,12.0,False
27,17,-86.44939133977665,12.0,False
27,18,36.39388699001948,13.0,False
27,19,-88.80731688246703,13.0,False
28,1,83.4500954835196,1.0,True
28,2,85.8441473292607,2.0,True
28,3,-57.567108496934566,3.0,False
28,4,-25.349654556137363,4.0,False
28,5,-22.13945971631693,4.0,False
28,6,32.04850655290751,5.0,True
28,7,28.28857553371262,6.0,False
28,8,-27.201027408184974,7.0,False
28,9,63.59127441540952,8.0,False
