CellNumber,GrowthRate,BirthLength,LifeHistory
653,0.0215391458046227,26,21
654,0.0619039208406224,14,11
655,0.0351401421524172,17,19
656,0.0287207705861525,24,17
657,-0.485507815781701,13,2
658,0.206346402802075,14,4
659,0.151634748936809,9,11
660,-0.105360515657826,10,2
661,0,6,4
662,NaN,5,1
663,0.029197163668026,11,33
664,0.0293370794555831,23,19
665,0.0335716878032668,20,15
666,0.0841180591553032,5,5
667,0.0688805183361379,15,12
668,0.0222258812854168,22,3
669,0.018561564962574,22,10
670,0.0870113769896297,11,2
671,0.0959410455414186,4,25
672,0.0312984554945306,20,17
673,0.0282411296191887,21,22
674,-0.0911607783969773,6,3
675,0.098778148472553,7,17
676,0.0273909331831972,20,17
677,0.0256721177985165,12,28
678,0.0270310072072109,22,16
679,0.0321225391261826,21,16
680,0.0373858040690237,20,10
681,0.043582023132612,13,25
682,0.0451386100727116,11,26
683,0.0256665000348899,7,22
684,0.0253415692567603,20,17
685,0.0231194197991286,24,22
686,0.0261113127358742,20,19
687,0.0290191005081936,22,17
688,0.030226195617875,18,23
689,0.0266595069446133,20,27
690,0.0134749125183172,21,41
691,0.0284370415708001,24,10
692,-0.000965486094112067,19,57
693,0.00221773473497419,20,23
694,0.0341649666386623,25,10
695,0.0289617934362974,26,15
696,0.035101122089692,21,13
697,-0.287682072451781,8,2
698,0.120159621816575,8,12
699,NaN,14,1
700,-0.0607738522646516,6,4
701,0.0241843372921025,22,19
702,0.0307592819545117,20,21
703,0.030450560166381,19,16
704,0.0142139518359998,23,22
705,NaN,6,1
706,0.0656486106757452,17,12
707,0.0693326468436262,4,18
708,0.0299657104038302,30,23
709,0.0336703443906268,29,12
710,0.0719205181129452,6,5
711,0.0275347481454404,18,30
