CellNumber,GrowthRate,BirthLength,LifeHistory
914,0.223143551,8,2
915,0.089401515,7,18
916,0.032918576,24,18
917,0.029191509,26,14
919,0.060624622,16,2
920,0.02942025,33,3
921,0.198987078,10,7
923,-0.026045937,6,8
924,0.010425013,12,50
925,0.02064242,20,19
926,0.056486524,12,16
927,0,10,2
928,0.046458224,13,19
929,0.026795784,22,10
930,0.031964675,21,10
931,0.064619489,10,19
932,0.091160778,5,3
933,0.031629381,22,25
934,0.023722549,21,26
935,0,7,5
936,0.027440224,34,6
937,0.032931951,27,8
938,0.042926202,6,44
939,0.083381609,23,2
940,0.028602588,33,5
941,0.030034452,24,28
942,0.028129293,23,30
943,0.018800145,15,26
944,0.053372244,10,25
945,0.04765509,10,3
946,0.197603944,11,7
947,0.182321557,5,2
948,0.033344955,20,10
949,0.032561053,14,34
951,0.052032179,16,20
952,0.035655047,24,18
953,-0.057536414,24,6
954,0.056339022,12,20
955,0.025341569,22,17
956,0.010876422,22,9
957,0.693147181,3,3
958,0.050580046,12,21
959,0.032947985,21,19
960,0.048877902,6,31
961,0.014440566,21,49
962,0.030646766,13,36
964,0.099021026,10,8
965,0.081506408,13,8
966,0.021752844,22,5
967,-0.133531393,8,2
968,0,11,2
969,0.032034966,20,27
970,0.029389333,20,21
971,0.287682072,6,2
972,0.052394523,12,23
974,0.052384055,16,13
975,0.03853767,12,5
976,0.030918863,24,15
977,0.048915429,15,23
978,0.041812401,13,21
979,0,8,6
980,0.028115005,22,28
981,0.024184337,22,19
982,0.022976616,24,21
983,0.027906691,20,24
984,0.034183577,6,45
986,-0.11552453,20,13
987,-0.07707534,14,3
988,0.051237354,10,26
991,-0.19602974,46,5
992,0.061862571,10,23
993,-0.117500907,8,5
994,0.001595551,55,45
995,0.016680576,19,7
996,0.057310462,13,15
997,0.066902588,12,17
998,0.036038634,23,19
999,-0.026340129,30,5
1000,0.038104972,22,10
1001,0.036693521,23,10
1002,0.202732554,20,3
1005,0,6,4
1006,0.0662035,14,12
1007,0,7,4
1009,0.135155036,4,4
1010,0.036399764,26,4
1011,0.223143551,4,2
1012,-0.018232156,6,11
1013,0.007707534,6,21
1014,-0.559615788,7,2
1015,0.109005078,8,14
1016,0.038107003,14,21
1017,0.10476811,16,7
1018,0.182321557,5,2
1019,0.195039639,11,5
1020,-0.147331875,26,9
1021,0.033558414,23,21
1022,0.028881133,21,25
1023,0.097101563,8,6
1024,0.028015522,21,24
1025,0.033975965,18,17
1026,0,12,2
1027,0.047338812,12,23
1029,0.029389333,20,21
1030,0.030564471,20,22
1031,0.024755256,20,29
1032,0.029574359,18,28
1033,0.062379247,4,14
1034,-0.182321557,6,2
1035,-0.26949825,12,3
1036,0.185781778,20,3
1037,0.03177006,10,4
1038,0.03121388,21,20
1039,0.051852643,15,15
1040,-0.09531018,11,2
1041,0.118648959,11,10
1042,-0.014722879,9,9
1043,0.287682072,6,2
1044,0.125657214,7,3
1047,0.062078236,10,17
1048,0.042341114,14,19
1049,0.03853767,6,5
1050,0.063811515,8,25
1051,0.041763521,11,5
1052,0.025445674,56,5
1053,0,4,3
1054,0.056318383,15,15
1055,0.018545941,21,22
1057,0.061086049,14,16
1058,0.031926601,21,17
1059,0.04205903,5,9
1060,0.043911988,11,28
1061,0.02569178,6,7
1062,0.06570478,10,13
1063,0.146177502,13,6
1064,0,10,2
1065,0.059028851,14,17
1066,0.012122548,27,4
1067,0.027892944,8,9
1068,-0.154032707,8,10
1069,0.080915389,14,10
1071,0.035178133,26,6
1072,0.020860524,30,7
1073,0.031694913,23,16
1074,0.027989841,20,22
1075,0.02220981,18,24
1076,0,13,3
1077,0.023580889,24,17
1078,0.026064846,19,21
1079,0.036651629,12,26
1080,0.021109035,16,24
1081,-0.011136939,26,16
1082,-0.11014632,30,13
1084,-0.030214857,21,10
1085,0.072975089,24,8
1086,0.025774281,21,26
1087,0.025101267,18,20
1088,0.029375227,20,17
1089,0.03589199,20,21
1090,0,4,2
1091,0.111923158,12,6
1092,0.029021205,22,16
1093,0.034141864,23,20
1095,0.040870404,13,17
1096,0.071920518,3,5
1098,0.026628332,19,25
1099,0.027786085,19,24
1100,0.032953255,29,15
1101,0.031508105,27,11
1102,0.043505688,11,3
1103,0.033813242,17,24
1104,0.018612681,23,22
1105,0.038299028,16,28
1106,0.03478678,17,27
1107,0.028350661,20,28
1108,0.020881761,11,9
1109,0.026010626,36,6
1110,0.021602905,17,37
1111,0.023378309,16,38
1112,0.056202138,11,20
1113,0,8,2
1114,0.025454545,19,25
1115,0.036849679,17,19
1116,-0.024702657,14,4
1117,0.039166969,20,13
1118,0.041097439,12,8
1119,0.050683139,20,9
1121,0.034586577,23,17
1122,0.030799148,22,27
1123,-0.133531393,8,2
1124,0.113176957,9,13
1125,0,13,3
1126,0.09531018,20,2
1127,0.02896094,19,19
1128,0.035893895,16,22
1129,0.111571776,4,3
1130,0.07520387,6,21
1131,-0.059970225,25,20
1132,0.031189624,24,14
1133,0.049936922,10,23
1134,0.34657359,10,3
1135,0.065480833,8,19
1136,0,10,2
1137,0.048656428,12,23
1138,0.026659157,19,26
1139,0,5,2
1140,0.015017226,18,28
1141,0.041190354,16,22
1142,0.030048566,18,18
1143,-0.143841036,16,5
1144,0.051909841,13,5
1145,0.038383936,17,14
1146,0.048867825,19,4
1147,0.024710988,21,25
1148,0.091160778,5,3
1149,0.037902018,20,15
1150,0.087454755,10,4
1151,0.033788759,20,13
1152,0.030136834,21,24
1153,0.012718541,20,45
1154,0.041097439,12,8
1155,0.041543976,15,24
1157,0.209062006,13,5
1158,0,12,3
1159,0.030323926,21,4
1160,0.135155036,12,7
1161,0.018668671,25,22
1162,0.004695146,35,7
1163,0.045018123,13,23
1164,0.022525839,16,19
1165,0.045580389,5,5
1167,0.150061119,17,6
1168,-0.170275208,5,4
1169,0.043911988,11,28
1170,0.017632863,25,15
1172,0.033936694,20,28
1173,0.027892944,24,9
1174,0.036619389,22,18
1175,0.033165888,23,10
1176,0.025606945,22,18
1177,0.030580909,22,18
1178,0.017443051,21,35
1179,0.017070932,23,39
1180,0.133531393,7,2
1181,0.024842896,22,23
1182,0.024607426,20,26
1183,0.182321557,5,2
1185,-0.029548597,19,9
1186,0.105991049,20,8
1187,-0.067294447,7,6
1189,0.026972656,16,19
1190,0.032036942,16,28
1191,-0.071920518,12,5
1192,0.01284589,24,13
1193,0.047947012,21,7
1194,-0.127023342,15,7
1195,-0.057923587,27,8
1196,0.060077386,17,11
1197,0,6,5
1198,0.223143551,4,2
1199,-0.071920518,8,5
1200,0.336472237,5,2
1201,0.133531393,7,2
1202,-0.559615788,7,2
