ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
22,1,306,1320,116,53,56,31,86.04901960784314,41.27124183006536,4.975946817482391,442,0.9961897985671939,19.738573927438622,1,0.2318181818181818,0.20096677811881355,72.02546400468027,61.98386886924694,3.0,1.6484287004287541,1.4142135623730951,6.903523978812516,6.28146506431952,74.72031680696254,138.3259018078045,0.6923076923076923,86.04901960784314,41.27124183006536,0,0.0,9.123657217466537,2,0.0,0.625,0.0,0,1,20.913088165379712,2.180454445357201,nan,58.358091082207764,1,22,0.3583579890562202,21.0,1,0.8656862745097982,2.0012418300653536
22,2,300,1180,116,61,57,41,85.88,50.39333333333333,4.786173205243072,417,0.9954644990844569,19.544100476116796,1,0.2542372881355932,0.20893518832635177,68.59304068250613,60.440052945046304,3.0,1.6672040064073825,1.4142135623730951,7.191875758317639,6.525513426820574,74.86278978145845,134.3259018078045,0.7194244604316546,85.88,50.39333333333333,0,0.0,9.123657217466537,1,0.0,0.6369426751592356,0.0,0,2,20.41904057020651,2.1524539073150146,nan,60.63858788196484,1,22,0.3367334445510653,21.0,2,-0.2826297577854717,2.133817762399076
23,1,206,615,94,46,53,31,72.01456310679612,39.228155339805824,3.3666753316502596,277,0.9905249933362126,16.195287778099022,1,0.33495934959349594,0.297028938489838,46.8260930800031,41.23105625617661,3.1622776601683795,1.6580500260566824,1.4142135623730951,6.715558510998894,6.430748181982381,75.24844449307476,93.35533905932738,0.7436823104693141,72.01456310679612,39.228155339805824,0,82.67574926310944,9.10851125683362,2,1.0,5.555555555555555,36.13007070808582,3,1,35.001631165907135,14.182389491424281,nan,72.54048057363204,1,23,0.4825117077957433,22.0,1,-14.034456501047018,-2.043086490259533
23,2,176,408,88,54,54,42,70.68181818181819,48.23863636363637,2.6717257864111135,219,0.9856514410786599,14.96964127403822,1,0.43137254901960786,0.37428990845025456,38.29843118090984,33.95585369269929,3.0,1.713607065520791,2.0,6.2347341653321156,6.464525229008333,76.00855822654,76.8700576850888,0.8036529680365296,70.68181818181819,48.23863636363637,0,96.77409303257343,9.10851125683362,1,1.0,2.2988505747126435,34.61700818640924,4,2,35.39703912284212,15.350161224226063,nan,75.98874910619091,1,23,0.46581947379310495,22.0,2,-15.198181818181808,-2.154696969696964
23,3,143,351,121,56,94,43,106.79020979020979,49.02797202797203,2.257939506606187,165,0.9811961023208638,13.493452297211721,1,0.4074074074074074,0.4428816613882882,31.042914255723304,27.85677655436824,3.0,1.6804868543620846,1.4142135623730951,5.515916910769762,5.991701338348577,70.0100788371568,63.698484809834994,0.8666666666666667,106.79020979020979,49.02797202797203,0,73.18833772408327,8.708977299905632,4,1.0,11.842105263157896,36.1170180847749,2,3,1.8510592523542853,22.144160258276223,nan,80.50225134048398,1,23,0.022993881804935327,22.0,1,20.74119018236665,7.75673019790667
23,4,156,403,120,64,89,51,104.08974358974359,57.30769230769231,2.640097668058335,190,0.9848462280080863,14.093451279891855,1,0.3870967741935484,0.3787738658681715,34.79311138389313,31.32091952673165,3.0,1.6416375937677081,1.4142135623730951,5.831241092707591,6.03416351730561,70.25782051513782,71.94112549695427,0.8210526315789474,104.08974358974359,57.30769230769231,0,92.87621958434725,8.708977299905632,3,1.0,3.5294117647058822,34.61700818640924,2,4,10.177591240358256,19.478273065919023,nan,80.11686094788386,1,23,0.12703432361109096,22.0,2,18.209743589743596,6.914358974358976
24,1,213,588,94,46,52,32,72.16901408450704,40.12206572769953,3.5234050764115263,328,0.9883136076323865,16.46815177937675,1,0.3622448979591837,0.2838163589803496,49.425678187371446,42.20189569201838,3.0,1.6504183823552037,1.4142135623730951,8.136312512310246,7.534168194822985,78.75867198965719,97.1126983722081,0.649390243902439,72.16901408450704,40.12206572769953,0,86.60239239247814,8.97728077702636,3,0.0,0.9090909090909091,35.6363995726,2,1,34.65464297182706,0.9071553814535488,nan,73.44763595508559,1,24,0.4718278882797389,23.0,1,0.15445097771092264,0.8939103878937047
24,2,142,290,121,57,92,47,106.13380281690141,50.90845070422535,2.3832678822151667,165,0.9836785382622985,13.446189622059965,1,0.4896551724137931,0.41959194241754055,32.200652818466345,28.861739379323623,3.0,1.6514215724528845,1.4142135623730951,5.451879148288616,5.794018124180628,76.77745865790995,65.21320343559643,0.8606060606060606,106.13380281690141,50.90845070422535,0,90.25314902542917,8.171807467742463,4,0.0,4.054054054054054,35.6363995726,1,2,3.5850500757563712,1.9917505281664483,nan,82.49400186865043,1,24,0.04345831205357938,23.0,3,-0.6564069733083784,1.8804786762533254
24,3,165,396,89,54,53,43,69.96363636363637,48.82424242424243,3.0447937782783905,224,0.9860555579797579,14.494292838262302,1,0.4166666666666667,0.3284294677472138,39.03382842831122,35.510561809129406,3.0,1.5988025840488207,1.4142135623730951,6.397404187717317,6.495871361788645,78.69824664502376,79.45584412271572,0.7366071428571429,69.96363636363637,48.82424242424243,0,92.11011525473029,8.97728077702636,1,0.0,0.0,35.149342910511464,4,3,36.13455894112799,0.9266712373789813,nan,76.91542034356989,1,24,0.4697960276329535,23.0,2,-0.7181818181818187,0.5856060606060609
24,4,154,352,120,65,88,54,103.6948051948052,58.70779220779221,2.681862347347213,185,0.9870642291582684,14.002817212590296,1,0.4375,0.3728752152358448,35.458332384040546,32.01562118716424,3.0,1.6275157545611758,1.4142135623730951,5.350053917772878,5.6848684068601045,76.01298855379706,72.04163056034261,0.8324324324324325,103.6948051948052,58.70779220779221,0,91.03434332736241,8.171807467742463,2,0.0,2.4691358024691357,35.149342910511464,3,4,11.62831501069547,1.454735737533203,nan,81.57159668541706,1,24,0.14255348041721388,23.0,4,-0.3949383949383929,1.400099900099903
