TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
26,44,2,-1.44719890913617,124.543282972282,166.217628442193,20,6.82604713088573,21,0,0
26,45,2,-1.04269462782855,117.171947281889,186.27811741509,23,7.28637459429447,21,0,0
26,46,2,0.428438103567726,138.510384250291,171.294549415837,23,7.04705988452606,22,0,0
26,47,2,0.0256100563043686,160.42,176.71,25,7.08432466145662,22,0,0
27,5,1,-1.47824360499758,121.790280670508,132.320490268599,33,7.51928774252178,1,0,0
27,10,3,-1.48164293216499,100.791021104284,166.229453863176,49,7.32661369996284,7,0,0
27,11,3,0.717921675315958,139.213268871088,158.899761779861,44,7.87876754945218,7,0,0
27,17,2,0.598792267770011,61.7233462477173,54.8141943110251,38,7.40148804485787,12,0,0
27,27,7,0.584763954286447,61.5070775101295,44.4109199170863,44,7.51161326792187,0,0,0
27,28,1,1.34228869751738,83.7519889247994,77.7230483979617,46,7.20979429097082,4,0,0
27,29,1,1.29109986137754,102.180569638767,111.631968038862,42,6.76889852749504,4,0,0
27,30,8,1.19956327093379,78.3021788826147,88.3141471527001,44,7.382752833832,0,0,0
27,31,9,1.25118558052742,97.8012844152523,122.398394086729,47,7.47944555136091,0,0,0
27,32,10,-1.2936019947905,113.798656097846,171.562744653468,46,7.02052708968572,0,0,0
27,34,3,1.40173107207657,42.7142575212876,46.9382610045792,24,7.09817275498148,6,0,0
27,35,3,0.524209151113967,59.3825957735965,62.9531242811266,26,7.46601104680784,6,0,0
27,36,2,1.2100864308868,67.2321767450807,81.4464692668901,24,7.75760788920691,18,0,0
27,37,2,1.11178111073169,76.3035107440762,103.713065473732,25,7.67670631587108,18,0,0
27,38,4,1.44092145103958,84.7042109468365,139.334755036586,26,7.65385661740523,20,0,0
27,39,4,1.34348827556793,88.8255395352065,162.869816105408,24,7.15957048629592,20,0,0
27,40,11,1.06981718632417,87.7614436418292,180.010142292627,26,8.09780075310415,33,0,0
27,41,11,0.379427017286261,103.050367343046,197.549244357183,24,7.49888223111515,33,0,0
27,42,2,1.25778182965987,108.570331150636,104.448259203487,24,7.72472279218352,23,0,0
27,43,2,-1.55684710341249,113.713948771012,125.270097288839,23,6.98024341144592,23,0,0
27,44,2,-1.4632177963841,124.307371146882,162.275780991523,23,6.78823225555385,21,0,0
27,45,2,-1.11044416568198,118.196315583922,185.151972082156,26,6.99353507168335,21,0,0
27,46,2,0.67636469143862,137.887018920705,169.159926716196,24,7.4140842158419,22,0,0
27,47,2,-0.313492011181261,159.391617670803,175.318737502558,26,7.31901376381069,22,0,0
27,48,4,1.32225280275525,88.2460924022777,121.138988749538,25,7.19326821633149,19,0,0
27,49,4,1.44232144060641,93.7082415527129,144.398121747704,26,6.88462741400999,19,0,0
27,50,2,-1.33821873347122,111.917024243317,147.912167711906,22,7.30756765570662,24,0,0
27,51,2,-1.4541751656918,107.316356989886,168.276792543874,21,6.74414895381318,24,0,0
28,5,1,-1.14214225275973,117.61041002633,124.978297508866,33,6.96674669370473,1,0,0
28,10,3,-1.51083848413318,95.8008203914628,184.151835970555,35,7.15468861719445,7,0,0
28,11,3,1.07357948349979,124.421629783432,145.395471852742,30,7.96945895466056,7,0,0
28,17,2,0.525572944293539,44.24,35.18,31,6.96731176817647,12,0,0
28,27,7,0.402018011379445,56.3885871060932,48.4046351385969,53,7.48425013158688,0,0,0
28,28,1,1.38597824081162,87.7570303031812,85.8637677206038,33,7.42261800296861,4,0,0
28,29,1,1.40463999823865,98.24,100.68,55,6.75732423664991,4,0,0
28,30,8,1.39347710067696,69.2713598104006,73.5327829416144,34,7.02966960273668,0,0,0
28,32,10,1.4888756914692,110.743353619108,156.261829037966,31,6.80264182466283,0,0,0
28,34,3,1.42506852826873,29.7505995175617,44.8252125523187,30,7.4033002851844,6,0,0
28,35,3,0.391600348361335,49.8583318956633,55.604299441811,32,7.75175726870511,6,0,0
28,36,2,1.30378482347387,61.7754362825778,78.4438500237497,32,7.99619418908306,18,0,0
