TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
37,13,180.355178833008,108.546417236328,28.2960186004639,2,10,0,0,False,0.046,-0.837
37,27,202.489471435547,95.2612457275391,22.9868965148926,2,12,35,36,True,,
38,30,92.6904144287109,88.6198959350586,26.2021102905273,1,21,37,38,True,,
38,32,,,,1,29,0,0,False,,
38,31,68.3044967651367,72.4904479980469,24.2337455749512,1,29,0,0,False,0.058,2.629
38,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,0.0,0.0
38,34,107.022392272949,88.8883819580078,20.1893558502197,1,23,0,0,False,,
38,33,117.074768066406,91.472541809082,6.05101871490479,1,23,0,0,False,,
38,26,123.343635559082,81.2763977050781,35.6286354064941,1,3,0,0,False,0.032,-1.952
38,25,81.8597259521484,68.8658828735352,43.2700881958008,1,3,0,0,False,-0.001,-2.472
38,13,181.291885375977,104.483757019043,32.4615478515625,2,10,0,0,False,0.016,-0.362
38,36,197.153396606445,91.140739440918,7.67937469482422,2,27,0,0,False,,
38,35,203.844818115234,90.4323425292969,22.6573333740234,2,27,0,0,False,-0.027,1.274
39,38,96.2158889770508,92.8613739013672,12.455265045166,1,30,0,0,False,,
39,37,83.1586837768555,86.378791809082,10.3496465682983,1,30,0,0,False,,
39,32,,,,1,29,0,0,False,,
39,31,71.0698471069336,75.3038635253906,29.4793033599854,1,29,0,0,False,,
39,24,130.971298217773,91.0178756713867,12.0945987701416,1,7,0,0,False,,
39,26,119.886245727539,81.1807174682617,38.5451736450195,1,3,0,0,False,,
39,25,78.9084625244141,66.613151550293,43.1834754943848,1,3,0,0,False,,
39,13,181.120971679688,103.689956665039,33.875244140625,2,10,0,0,False,,
39,35,206.851776123047,88.3114013671875,20.2356281280518,2,27,0,0,False,,
