TimeStep,CellNumber,Orientation
51,35,-7.4180667827428
51,40,-49.826712149559
51,42,-60.0518547807849
51,43,-30.2181594091763
51,44,13.3324238909009
51,45,-41.4108283059855
51,46,-41.9216630042318
51,47,27.3740255902626
51,48,-52.897105589194
51,52,66.0829107476795
51,53,24.7829113535051
51,54,-65.3672428110605
51,55,76.6326634779369
51,56,32.5158582772034
52,13,-53.6190886144867
52,15,-0.327089605327188
52,25,54.3944382832077
52,26,15.5876252528177
52,27,-1.59733161118402
52,28,-19.0894006054447
52,29,54.8682856575801
52,30,-1.26954316281076
52,31,-25.7028930094138
52,34,27.936992255305
52,35,-6.79910834614677
52,40,-50.8391221767616
52,42,-59.4971713407968
52,43,-29.4343122122302
52,44,14.6265483603403
52,45,-40.6283808975914
52,46,-41.8351809241204
52,47,25.583738139082
52,48,-53.2561070383025
52,52,64.7982369196564
52,53,20.4928855601854
52,54,-64.4713836834453
52,55,78.0138666727437
52,56,30.348189874616
53,13,-54.6780800765093
53,15,0.113351739096004
53,25,54.5197204782623
53,26,14.7461880588249
53,27,-2.37571689636574
53,28,-19.1761916275766
53,29,54.9690041204087
53,30,-1.62038548699415
53,34,-4.24492929686367
53,40,-51.5658358593984
53,42,-61.8040968549714
53,43,-29.9593071010301
53,44,15.4204686095186
53,45,-40.607363234447
53,46,-41.7062014882908
53,52,62.6132343967849
53,53,20.7969439539219
53,54,-60.3174691276786
53,55,80.0528114340681
53,56,30.1507005119479
53,57,-51.7895102341452
53,58,-22.9790342377486
53,59,-2.13641873129623
53,60,-19.6707988815018
54,13,-56.1806416153959
54,15,0.66826589816533
54,25,55.3339002498217
54,26,14.2835841396281
54,27,-2.4534592774822
54,29,54.0391346454786
54,30,-1.51488596340783
54,34,-7.40282269855363
54,43,-30.6251418459375
54,44,14.8458416968951
54,45,-40.4644495610403
54,46,-41.3402642580415
54,52,60.5968563371997
54,53,24.2984186634381
54,54,-59.0443092874361
54,55,87.0103300914698
54,56,29.7339919761294
54,57,-52.1832286392053
54,58,-22.1863649956372
54,59,-2.93385512158289
54,60,-21.7570673607267
54,61,-52.6558132892004
54,62,-21.5036498407094
54,63,-24.8175045467064
55,13,-56.409717772993
55,15,1.72536403407217
55,25,54.81248743656
55,27,-2.62027365730336
55,29,54.4807300869406
55,30,-0.87068948675072
55,34,-9.03645946574514
55,43,-31.0050716725633
55,44,14.7340150846241
55,45,-40.4556212880603
55,46,-41.0570853777828
55,52,62.3364333282362
55,53,27.1475798743878
55,54,-59.151751480014
55,55,-89.1661769698068
55,56,26.4512391496077
55,57,-52.4560511874925
55,58,-22.1090997686356
55,59,-3.15391234168587
55,60,-22.5453734994779
55,61,-52.6740902080663
55,62,-20.8522176025444
55,63,-27.4366205555732
55,64,-61.0376492946876
56,13,-58.8562041298973
56,15,2.93348947351785
56,25,55.1917993438569
56,27,-2.39598432887425
56,29,54.4211369081635
56,34,-11.9652388293946
56,43,-31.3231233485871
56,44,17.871015936332
56,45,-41.8833368279625
56,46,-41.3353438727009
56,52,61.4314134576528
56,54,-58.2558265479514
56,55,-87.629518635175
56,57,-52.4791334686047
56,58,-22.3519110626915
56,59,-2.77347834679337
56,60,-23.0212199938359
56,61,-52.5575632480245
56,62,-16.6767337519772
56,63,-31.9524322565935
56,64,-60.2907023021179
56,65,8.95319558952862
56,66,-10.014753323796
56,67,12.5726739784872
57,13,-61.3393318269249
57,15,4.01666926131918
57,25,55.0451546910555
57,27,-2.81015487653549
57,29,53.4705123373637
57,34,-13.3856992070628
57,43,-31.3128814661646
57,44,16.8422263066436
57,45,-41.7214360846257
57,46,-41.2655325326143
57,52,63.6776836551025
57,54,-58.5313517013554
57,55,-86.598308638135
57,57,-53.2399300999088
57,58,-22.8940684343753
57,59,-1.88583864041682
57,60,-23.458316105994
57,61,-52.4624646436014
57,62,-15.1538690449763
57,63,-35.2394774822698
57,64,-60.0604349767927
57,65,13.5321934590983
57,66,-11.6996334832933
57,67,11.7366288175086
57,68,3.58768228518807
57,69,-4.29348373750781
58,15,3.85137996907372
58,25,55.6638540178566
58,27,-5.16546590630817
58,29,53.7974662410576
58,34,-13.7021334673448
58,43,-31.1863020716678
58,44,17.4786706458027
58,45,-41.839299248446
58,46,-40.1660781734452
58,52,63.4007409485911
58,54,-58.260515410347
58,55,-86.0112817583058
58,57,-52.6940980499569
58,58,-23.5852504697311
58,59,-1.05917818399014
58,60,-23.8303769803098
58,61,-52.4916719564285
58,62,-10.9949151002364
58,63,-38.8243027086434
58,64,-60.1952452787435
58,65,13.9454471730368
58,67,10.6974462445306
58,68,1.99959382877228
58,69,-3.48328454158784
58,70,-12.7950957542602
58,71,-38.4308311672338
59,15,4.71259407159869
59,25,55.810127695303
