TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,divideFlag,Major_axis,Minor_axis,parent
1,1,-0.12970239,1,123.9320988,110.8641975,FALSE,32.59499831,6.456861949,0
1,2,-0.39852743,2,212.9277778,128.8777778,FALSE,31.23667693,7.533096646,0
2,1,-0.131107477,1,123.1882353,107.8,FALSE,32.97202599,6.79210566,0
2,2,-0.399213627,2,212.4064171,125.7433155,FALSE,31.55271798,7.722570177,0
3,3,-0.134192487,3,123.1413613,98.36649215,FALSE,34.256233,7.304866912,0
3,4,-0.38759995,4,212.7205882,116.2107843,FALSE,34.29210904,7.759438702,0
4,3,-0.13703446,3,122.4166667,95.08854167,FALSE,34.67981277,7.233535881,0
4,4,-0.381249171,4,211.937799,113.0574163,FALSE,35.18467916,7.730525423,0
5,3,-0.149188731,3,121.3425926,89.7037037,FALSE,37.76215896,7.596034139,0
5,4,-0.388132982,4,210.6157205,107.790393,FALSE,36.8836492,8.092677394,0
6,3,-0.154156985,3,121.1333333,89.76888889,FALSE,39.69987753,7.553557967,0
6,4,-0.401944143,4,210.443038,108.0548523,FALSE,38.50342536,8.012786405,0
7,3,-0.15009049,3,121.212766,85.69787234,FALSE,43.26699731,7.532850637,0
7,4,-0.405234535,4,209.9610895,104.2879377,FALSE,42.04212132,8.082041644,0
8,3,-0.15198281,3,121.5396226,84.65283019,FALSE,43.91445097,8.199257542,0
8,4,-0.402215838,4,210.6776557,103.2124542,FALSE,42.78887541,8.371545269,0
9,3,-0.150561406,3,120.8315789,83.69473684,FALSE,47.03350474,8.431938925,0
9,4,-0.414208327,4,210.2939189,102.3648649,FALSE,46.10371646,8.374024281,0
10,3,-0.149686464,3,120.7567568,82.28040541,FALSE,48.89960013,8.483852122,0
10,4,-0.418061459,4,210.5700326,100.8827362,FALSE,47.88666467,8.417571267,0
11,3,-0.125814043,3,119.6861538,77.32307692,FALSE,54.41359476,8.827973583,0
11,4,-0.433716933,4,210.7134328,96.08656716,FALSE,51.55858898,8.579244846,0
12,3,-0.119036391,3,117.9186747,76.23493976,FALSE,56.3364031,8.945160648,0
12,4,-0.433329444,4,209.6,95.12463768,FALSE,53.53748179,8.485738146,0
13,3,-0.108758351,3,117.2773109,73.77030812,FALSE,62.57318597,9.632504738,0
13,4,-0.451977735,4,208.9527559,93.03412073,FALSE,59.33883048,8.605896592,0
14,3,-0.111454912,3,117.3529412,75.52139037,FALSE,65.43867526,9.979321935,0
14,4,-0.460176904,4,208.2959184,95.18622449,FALSE,61.86357908,8.592996401,0
15,3,-0.077010259,3,116.3841202,74.55579399,TRUE,76.09054292,12.10287745,0
15,4,-0.473738353,4,207.3368644,95.4279661,FALSE,73.02743144,9.078415484,0
16,5,-0.140310556,3,130.6205534,75.19762846,FALSE,39.40821558,8.978714646,3
16,6,-2.860007055,3,97.46303502,79.27237354,FALSE,45.45867466,7.509555456,3
16,4,-0.479819304,4,205.5174419,98.6744186,FALSE,83.26298449,9.040438759,0
17,5,-0.111374069,3,128.6339623,73.82641509,FALSE,41.87250213,9.135860469,3
17,6,-2.85838824,3,97.80898876,78.31086142,FALSE,48.42082376,7.390010617,3
17,4,-0.485833992,4,204.5861423,97.55805243,FALSE,87.68781266,9.03720732,0
18,5,-0.061996335,3,125.2473868,73.73170732,FALSE,49.04301649,8.90425637,3
18,6,-2.875308704,3,99.87828947,79.27960526,FALSE,55.15267733,7.7023296,3
18,4,-0.490357188,4,202.7355372,98.50743802,FALSE,98.38564949,9.184800947,0
19,5,-0.04101322,3,124.6608392,74.52797203,FALSE,52.17814776,8.500542645,3
19,6,-2.885612349,3,100.440273,80.55972696,FALSE,58.37183137,7.753065766,3
19,4,-0.491101022,4,202.3105096,99.74522293,TRUE,102.2555778,9.246395442,0
20,5,-0.006211528,3,120.5779221,72.67207792,FALSE,59.34696534,7.91943381,3
20,6,-2.940404862,3,103.1722054,79.7734139,TRUE,66.64740566,9.552820833,3
20,7,-0.332268556,4,219.9850299,87.45808383,FALSE,52.61665416,10.37995341,4
20,8,-0.46366818,4,183.9337017,108.3839779,FALSE,62.21533809,9.671638243,4
21,5,-0.000936134,3,117.9592476,75.22570533,FALSE,63.53220083,8.245998002,3
21,9,-2.730522339,3,87.09929078,79.42553191,FALSE,30.90932262,6.172341938,6
21,7,-0.316882799,4,218.4345238,90.18452381,FALSE,56.04387525,10.19309767,4
21,10,-0.069217161,3,118.8333333,85.43333333,FALSE,33.66342962,6.072172929,6
21,8,-0.439043348,4,183.8719346,111.0381471,FALSE,63.8597801,10.37221505,4
22,5,-3.110199255,3,114.462908,76.91394659,FALSE,70.10836558,9.162562107,3
22,9,-2.763015549,3,87.55102041,82.34693878,FALSE,34.54654571,5.871407641,6
