ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_Expanded,Neighbors_FirstClosestDistance_Expanded,Neighbors_FirstClosestObjectNumber_Expanded,Neighbors_NumberOfNeighbors_Expanded,Neighbors_PercentTouching_Expanded,Neighbors_SecondClosestDistance_Expanded,Neighbors_SecondClosestObjectNumber_Expanded,Number_Object_Number,Parent_FilteredNuclei,Parent_Watershed,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
13,4,394,931,249,141,230,92,238.63705583756345,115.34263959390863,2.617510437567729,457,0.98558938384962,22.397686948112614,1,0.42320085929108486,0.38204241161660113,56.09375178269207,49.47726750741192,5.0,2.347283661131598,2.23606797749979,9.183017199050036,9.488563854540063,-14.008142688510842,113.84062043356595,0.862144420131291,238.63705583756345,115.34263959390863,0,138.1212276121983,68.67384695229399,2,6.0,100.0,79.9536498202918,9,4,4,4,3.419755109027817,0.44919397035269415,nan,23.49956279232204,4.0,13,0.1455242014181279,12.0,5,-0.09401465852010915,0.43924533803395605
13,5,283,558,53,152,35,121,43.21554770318021,136.42049469964664,1.7188456302117545,304,0.9592055142858542,18.982275710779543,1,0.507168458781362,0.5817858116070634,35.88616858503759,33.54101966249684,5.0990195135927845,2.4758623255430905,2.23606797749979,9.838699100999074,10.145368392091026,24.366405479658283,78.18376618407356,0.930921052631579,43.21554770318021,136.42049469964664,0,5.010505093486042,26.344703037125733,6,3.0,72.03219315895372,40.728622162421495,8,5,5,5,1.9506614271049354,0.3804337569626232,nan,2.7898324905758134,5.0,13,0.6992037814794839,12.0,6,-0.2627131663850051,-0.27515747426639336
13,6,182,270,54,172,39,154,45.80769230769231,162.63736263736263,1.2949135465069814,197,0.8325777894610749,15.222667215103916,1,0.674074074074074,0.7722523273445487,20.762994061204054,20.615528128088304,5.830951894845301,2.4815203516753033,2.23606797749979,10.95602495244606,11.500791363880943,30.1148947312959,54.42031021678297,0.9238578680203046,45.80769230769231,162.63736263736263,0,165.9633712967801,14.66620297137346,8,3.0,83.65758754863813,26.344703037125733,5,6,6,6,4.362820144968978,5.243079505228277,nan,16.44962121798548,6.0,13,0.2652231371868194,12.0,7,-1.6832824215495705,-4.965525449279966
13,7,234,468,126,187,108,161,116.5042735042735,173.67094017094018,1.5810159484066604,249,0.9509229047295283,17.26088217525478,1,0.5,0.6325046885249923,31.178501832985514,29.154759474226502,4.47213595499958,2.37329967373248,2.23606797749979,8.91792642741046,9.647498546953363,-30.87425743218956,68.18376618407356,0.9397590361445783,116.5042735042735,173.67094017094018,0,11.287643652444844,65.81525646637259,8,7.0,100.0,71.55240335638115,6,7,7,7,2.3138108187750994,0.1546587039331681,nan,2.744269513258295,7.0,13,0.8431427043140132,12.0,8,0.01720453875626049,0.1536987916298358
13,8,103,143,56,184,45,171,50.74757281553398,176.44660194174756,1.089731858930708,109,0.725858216651479,11.451797811161432,1,0.7202797202797203,0.9176569371673168,14.015701625040727,13.601470508735444,4.47213595499958,2.113910797928422,2.0,8.854377448471462,9.640621168900745,24.788914396439353,37.55634918610404,0.944954128440367,50.74757281553398,176.44660194174756,0,9.026123609733983,14.66620297137346,6,3.0,78.2051282051282,40.728622162421495,5,8,8,8,10.389847028824937,9.424261554446423,nan,20.63080326720363,6.0,13,0.5036084583939331,12.0,7,3.256598086292101,8.843713855104966
13,9,218,442,246,204,220,187,232.61009174311926,195.06880733944953,1.5989563071546224,232,0.9539727587955219,16.66031874701878,1,0.49321266968325794,0.6254079586324168,30.58296928238611,28.178005607210743,4.47213595499958,2.290500163025952,2.23606797749979,8.255929830036745,9.171626770706139,61.08193202153047,66.18376618407356,0.9396551724137931,232.61009174311926,195.06880733944953,0,29.771892900093846,58.27292473669962,10,5.0,100.0,66.42922915749055,11,9,9,9,1.4889337484000555,0.09195913940314458,nan,1.8446460572323369,8.0,13,0.8071650073803407,12.0,9,0.0701856398328573,0.05941766808803095
13,10,282,360,298,232,268,220,282.20567375886526,225.6631205673759,1.4310739373758974,294,0.9319708145148834,18.948708441878455,1,0.7833333333333333,0.6987759149842808,31.488976033327795,29.832867780352597,6.0,2.7493636562379167,2.8284271247461903,11.0,11.415802711302186,80.94357202162057,71.21320343559643,0.9591836734693877,282.20567375886526,225.6631205673759,0,37.19937332258109,32.990987004125046,11,5.0,81.20481927710843,39.26868800138719,12,10,10,10,1.7197050742142272,0.24820711986482322,nan,2.2362644083603884,9.0,13,0.7690079347437728,12.0,10,0.1946847478762379,0.1539630582183804
13,11,207,315,275,262,254,247,264.3671497584541,253.41545893719805,1.2433320478256753,221,0.8633706027900142,16.23454913941803,1,0.6571428571428571,0.8042903758081266,22.989314134126356,21.95449840010015,5.830951894845301,2.628239851131204,2.23606797749979,11.180339887498949,11.599725461961155,65.63455307563824,56.87005768508881,0.9366515837104072,264.3671497584541,253.41545893719805,0,85.87543238382179,23.803121163704347,12,5.0,98.08219178082192,32.990987004125046,10,11,11,11,3.195011126063875,0.3006613440258941,nan,41.26592932911949,10.0,13,0.07742491634156173,12.0,11,-0.28459153507822066,-0.09697887374721859
13,12,208,437,297,275,274,256,285.2644230769231,264.8125,1.4909513693492826,224,0.939357786432413,16.273715780512877,1,0.4759725400457666,0.6707126875884922,27.967403331407997,25.80697580112788,5.0,2.3388161402361143,2.23606797749979,9.0,9.591104823050955,52.57451705405941,62.42640687119285,0.9285714285714286,285.2644230769231,264.8125,0,56.925194293597116,23.803121163704347,11,2.0,51.94174757281554,39.26868800138719,10,12,12,12,21.190877393222273,0.12980769230773603,nan,40.94255477507041,10.0,13,0.5175758452211981,12.0,12,0.12980769230773603,0.0
13,13,418,972,162,296,108,278,134.24162679425837,286.9617224880383,3.194293073137976,524,0.9880369466817792,23.06976657227589,1,0.43004115226337447,0.31305831277955676,62.14368446378017,54.57105459856901,5.0,2.2948317479530695,2.0,9.723566493735216,9.583634528793144,-78.54903680945677,129.53300858899104,0.7977099236641222,134.24162679425837,286.9617224880383,0,77.97535593605954,15.19828960058846,15,6.0,82.00589970501476,19.801107112840032,14,13,13,13,1.8450342775132864,0.21041205347012035,nan,3.736789181410318,12.0,13,0.4937485600450556,12.0,13,-0.05790150762842927,0.20228852577412226
