CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
4013,-0.00952640230665806,18,4,47.3688980257472,16.5,0.743280027572396
4014,0.0323593357401596,14,4,48.7530898792972,15.75,1.33363058032854
4015,0,15,2,98.8813590513276,15,-0.0670674330840957
4016,0,14,1,NaN,NaN,NaN
4017,0.0753308539571763,14,4,56.477584877237,18,0.182700339390693
4018,0,15,1,NaN,NaN,NaN
4019,-0.0215128403791904,16,2,78.5506108635568,15.5,-1.38020003877714
4020,0.0594458239897887,14,4,52.3460600402466,17.5,0.395980263663765
4021,0.0270864882496291,17,4,57.0639196752326,18.25,0.150455972960085
4022,0,9,1,NaN,NaN,NaN
4023,0.0479470120752968,15,4,30.9926527040687,17.75,0.00419981118499324
4024,0,1,1,NaN,NaN,NaN
4025,0.0371905918857016,16,4,65.3068324535847,17.75,-0.282053065397471
4026,0.037075211703408,17,2,138.720763699089,18,-0.712361284662025
4027,0.123656224121563,20,4,47.7380514143151,28.75,-0.0502484428135414
4028,0.0859430364340333,17,2,90.2333947204623,19.5,-1.41141852336233
4029,0,18,4,41.7567782216092,17.5,-0.112970461800383
4030,0.0479470120752969,18,4,43.8501146368116,21,1.16787550090331
4031,0.0574734143819549,17,4,42.7434649375747,20.25,-0.0885662129456782
4032,0,1,1,NaN,NaN,NaN
4033,0.040193676136148,22,4,28.384231250549,24.75,0.688801137660892
4034,0.0215128403791904,15,2,51.7057675235185,15.5,0.0166658577137561
4035,0,1,1,NaN,NaN,NaN
4036,0.0286417094877765,16,4,35.3578522565214,17.75,0.0975969920775613
4037,0.0530756218530892,16,4,44.9103521643296,19.25,0.704253768034176
4038,0.00813169402823869,20,4,48.1635226873838,20.5,1.3635193690535
4039,0,15,2,128.360136179691,15,-0.0517523632218386
4040,0.0418857380468177,14,4,55.8369397322548,15.75,0.787319997773817
4041,0.0558476507290902,14,3,73.563967522218,16,0.821436342253458
4042,-0.0256917799712097,21,4,50.4066986995197,19.75,-0.672506674293307
4043,0.0270864882496291,17,4,50.7775433524931,21.75,-0.597974498249985
4044,0.0901033573573699,16,3,62.0948805711906,19.3333333333333,-0.520330195769744
4045,0,1,1,NaN,NaN,NaN
4046,0.00995098771656044,33,2,84.3226771162777,33.5,1.085701787698
4047,0.0175600859429711,18,4,45.3532428078738,18.5,0.541803980093128
4048,0.0101041036360725,16,4,58.9276803071092,17,0.385363573219136
4049,0.00813169402823869,20,4,58.1604754968689,20.5,0.704816919772787
4050,0.0371905918857016,24,4,65.0242669108479,27.5,0.0769026707617495
4051,0.0500174320750564,20,4,64.1693320314858,23.25,0.621923847504054
4052,0.0809179692969502,16,4,46.7900307205903,20,0.64851955477654
4053,0,1,1,NaN,NaN,NaN
4054,0,20,2,66.5167712567207,20,1.26441055913302
4055,0.0519144113736679,19,3,49.6169865368932,21,0.423560714991115
4056,0.0352181822778678,17,4,36.445616804525,19,0.729286727490102
4057,0,1,1,NaN,NaN,NaN
4058,0,1,1,NaN,NaN,NaN
4059,0,18,2,99.6794981716312,18,1.24825625356796
4060,0,20,1,NaN,NaN,NaN
4061,0,18,2,85.9858658222924,18,1.22953478620408
4062,0.0408537430054975,18,4,46.6558805330301,20.25,1.1781458668475
