CellId,birth Length,AverageLength,AverageVelocity,LifeHistory,growth rate
180.0,5.40499353408813,5.40499353408813,0.0,1.0,0.0
181.0,10.5921964645386,22.401691300528395,-0.176,49.0,0.003
182.0,31.6081447601318,31.085008780161527,0.036,12.0,-0.0
183.0,10.7809324264526,10.5710482597351,-1.12,2.0,-0.013
184.0,16.8010921478271,22.651773588997976,0.136,14.0,0.023
185.0,17.8883991241455,19.630453868345786,-0.107,44.0,0.003
186.0,14.1105308532715,19.18155831557054,-0.344,13.0,0.0
187.0,7.53346395492554,7.53346395492554,0.0,1.0,0.0
188.0,5.4533224105835,5.4533224105835,0.0,1.0,0.0
189.0,36.4509315490723,38.8839044570923,0.168,4.0,0.028
190.0,20.9828567504883,16.600556825336657,-0.007,19.0,-0.027
191.0,9.62598323822021,19.401051712036132,-0.513,15.0,0.008
192.0,8.98579978942871,8.98579978942871,0.0,1.0,0.0
193.0,14.8169679641724,21.34768261628993,-0.57,17.0,0.028
194.0,19.3932151794434,16.6092553138733,0.294,4.0,-0.035
195.0,8.49465656280518,8.49465656280518,0.0,1.0,0.0
196.0,11.5622892379761,18.464002799987792,-0.166,15.0,0.03
197.0,14.7772512435913,18.983836412429827,-1.003,12.0,0.014
198.0,10.0649728775024,10.0649728775024,0.0,1.0,0.0
199.0,10.6086893081665,12.484485626220701,-0.144,3.0,0.071
200.0,5.88415956497192,5.88415956497192,0.0,1.0,0.0
201.0,38.7053108215332,38.7053108215332,0.0,1.0,0.0
202.0,8.7290210723877,8.7290210723877,0.0,1.0,0.0
203.0,27.4041080474854,27.474109649658253,0.207,2.0,0.002
204.0,14.4663181304932,14.8209438323975,-0.422,2.0,0.016
205.0,3.26785254478455,3.26785254478455,0.0,1.0,0.0
206.0,26.4159355163574,30.902330251840453,-0.376,13.0,0.012
207.0,3.12567734718323,3.12567734718323,0.0,1.0,0.0
208.0,12.0954074859619,16.579078299658637,-0.517,28.0,0.008
209.0,8.4555025100708,8.4555025100708,0.0,1.0,0.0
210.0,8.38827228546143,8.38827228546143,0.0,1.0,0.0
211.0,23.6128063201904,25.378875096638982,0.096,6.0,0.016
212.0,10.1165370941162,11.50830669403076,-0.052,5.0,0.017
213.0,24.5099010467529,24.716819763183587,0.443,7.0,-0.001
214.0,4.96717166900635,4.96717166900635,0.0,1.0,0.0
216.0,18.8107566833496,21.229426913791237,-0.157,27.0,0.014
217.0,25.6144905090332,22.695776176452636,-1.469,5.0,-0.074
218.0,14.981969833374,14.936905225118002,0.574,3.0,-0.007
219.0,9.07886505126953,9.07886505126953,0.0,1.0,0.0
220.0,26.006685256958,28.387286980946854,-0.114,12.0,0.002
221.0,14.6513681411743,16.76406118604872,-0.578,9.0,0.003
222.0,22.3785247802734,22.206525723139453,-0.281,12.0,-0.038
223.0,22.7287425994873,29.690578360306596,-0.276,19.0,0.023
224.0,12.6781024932861,13.102091683281778,0.074,9.0,0.01
225.0,25.475887298584,21.85555465404804,-0.092,65.0,0.003
226.0,25.4971523284912,24.45826721191407,-0.424,14.0,-0.04
227.0,24.9533710479736,26.583641295737404,-0.025,47.0,0.006
228.0,12.4978742599487,21.90498263747604,0.325,54.0,0.015
229.0,13.9319944381714,11.997766176859534,-1.631,3.0,-0.067
230.0,18.4054012298584,23.60281208583286,-0.118,7.0,0.044
231.0,9.37569808959961,9.37569808959961,0.0,1.0,0.0
232.0,7.49592399597168,7.49592399597168,0.0,1.0,0.0
233.0,20.8261470794678,27.375730726454,0.023,27.0,0.012
234.0,14.0987739562988,14.0987739562988,0.0,1.0,0.0
235.0,16.4150829315186,17.132556279500367,0.446,3.0,0.022
237.0,21.9973449707031,32.562925864910255,-0.193,29.0,0.014
238.0,11.2250518798828,12.414053916931161,0.41,5.0,-0.002
239.0,5.96381616592407,5.96381616592407,0.0,1.0,0.0
240.0,10.5397329330444,10.917310333251953,-0.525,5.0,-0.005
241.0,13.9256048202515,13.9256048202515,0.0,1.0,0.0
243.0,10.0878162384033,14.054843846489394,-0.088,17.0,0.011
244.0,10.1456127166748,18.034701420710654,-0.158,13.0,0.046
245.0,14.0971517562866,17.822979784011828,-0.204,20.0,0.018
246.0,19.9305725097656,26.7958052262016,-0.125,23.0,0.015
247.0,24.7155647277832,28.918036869594022,0.348,21.0,0.013
248.0,15.3205251693726,15.3205251693726,0.0,1.0,0.0
249.0,8.88132476806641,8.88132476806641,0.0,1.0,0.0
250.0,11.6838102340698,10.6695082982381,-0.116,3.0,-0.033
251.0,23.7712211608887,23.7712211608887,0.0,1.0,0.0
252.0,12.4606523513794,12.452959060668933,-0.855,3.0,-0.009
253.0,12.5421361923218,12.4794324239095,-0.997,3.0,0.002
254.0,14.5518579483032,14.5518579483032,0.0,1.0,0.0
255.0,21.0043888092041,21.0043888092041,0.0,1.0,0.0
256.0,14.3727283477783,13.18370938301085,-0.887,4.0,-0.024
257.0,13.9208192825317,16.502585029602063,-1.029,5.0,0.025
259.0,7.0254225730896,7.0254225730896,0.0,1.0,0.0
261.0,15.7192058563232,14.687462806701634,-0.231,3.0,-0.048
262.0,7.27452182769775,7.27452182769775,0.0,1.0,0.0
